model_name,threshold,component_iou,component_dice
16s,0.1,0.48230182550969003,0.5532744849505576
16s,0.2,0.5873403104852277,0.6586485168835721
16s,0.3,0.6529040478788461,0.723190284779133
16s,0.4,0.6821889902608786,0.7501344773199402
16s,0.5,0.7089099983598065,0.7765972174846508
16s,0.6,0.7491444391937816,0.8208138790691045
16s,0.7,0.7355038673061296,0.8100108604286737
16s,0.8,0.7303703607181741,0.8130819986460436
16s,0.9,0.6539024271210551,0.7470210814075048
32s,0.1,0.2261541693743529,0.2688439636609531
32s,0.2,0.3244683480231712,0.37369687758617665
32s,0.3,0.3528326334861622,0.3982248162632724
32s,0.4,0.3996996127217792,0.44588052651693305
32s,0.5,0.42887686636006805,0.47478475655774516
32s,0.6,0.48419315657136974,0.5354085165929748
32s,0.7,0.4858595140541644,0.540311161846517
32s,0.8,0.4461426691717753,0.5035941166107825
32s,0.9,0.3733499459611988,0.43734738780499116
8s,0.1,0.31586987406360306,0.3593583615059075
8s,0.2,0.4885226737816793,0.5420878899632051
8s,0.3,0.5324865289660535,0.5830439511501884
8s,0.4,0.6009589780897817,0.6542983461713894
8s,0.5,0.610018421699728,0.6639579668477527
8s,0.6,0.6321273256720121,0.6907187244365518
8s,0.7,0.6329377922476254,0.6987225903728954
8s,0.8,0.5895529577626784,0.6635104695593532
8s,0.9,0.5527051317736589,0.644513260895663
sw_1000px,1,0.024824731517714915,0.045565727489241
sw_1000px,2,0.03532123062212168,0.06264249569182102
sw_1000px,3,0.05862092658284372,0.09797606784865046
sw_1000px,4,0.06658998694335896,0.10397032446210518
sw_100px,1,0.018937617992398657,0.030703186235742284
sw_100px,2,0.025780342567866498,0.04037884777350031
sw_100px,3,0.03308722441550584,0.05120674330898006
sw_100px,4,0.03471655944477096,0.0558960071000091
sw_200px,1,0.03313696014192606,0.054804405644642944
sw_200px,2,0.04303387687204285,0.06979108339044872
sw_200px,3,0.058180412530289057,0.09033043397181913
sw_200px,4,0.06884234188298012,0.10459707018133974
sw_300px,1,0.036043249459506814,0.05933313530753006
sw_300px,2,0.04989958434910671,0.08104648009994497
sw_300px,3,0.06438791913585183,0.10193507502383485
sw_300px,4,0.07652373871874285,0.11955460907782009
sw_400px,1,0.03565265640281508,0.05869900816368169
sw_400px,2,0.051115857240554514,0.08378345809483223
sw_400px,3,0.07940645776881622,0.1264004574988106
sw_400px,4,0.08159505088807882,0.128526739942611
sw_500px,1,0.03381314246459923,0.05763058466943578
sw_500px,2,0.05003073448096598,0.08213302474321649
sw_500px,3,0.07943218698971187,0.1256229713011754
sw_500px,4,0.08401288509444158,0.1326477792333548
sw_600px,1,0.029760342019723177,0.05200946618556652
sw_600px,2,0.04254039966715575,0.07185682058666415
sw_600px,3,0.06778061069678452,0.108273011793198
sw_600px,4,0.079695394833321,0.12493087147503032
sw_700px,1,0.028056500334831817,0.050025555014014164
sw_700px,2,0.04065589052795037,0.06936537046339407
sw_700px,3,0.0673937496437367,0.10767863305940374
sw_700px,4,0.07479101375686951,0.11835194701248287
sw_800px,1,0.028585790037518523,0.050844956057398645
sw_800px,2,0.0402016345309174,0.06906620798229716
sw_800px,3,0.05729379047064427,0.09276902255190361
sw_800px,4,0.06526950723933087,0.10236057766072738
sw_900px,1,0.026788481999202106,0.048269220307569555
sw_900px,2,0.03709328486327125,0.06470579121888649
sw_900px,3,0.058864971014550654,0.09584978150652865
sw_900px,4,0.06604570061181501,0.10345014387936281
