,Unnamed: 0.1,model,threshold,precision,recall,F1,n_splits,pk,cd_component_precision_mean,cd_component_recall_mean,split_component_recall_mean,split_component_precision_mean,fa_relative_area_to_gt_mean,fa_norm_distance_mean,detection_failure,cd_dice_joint_mean,split_dice_joint_mean,cd_component_f1_score,split_component_f1_score,architecture,latex_name
0,0,8s,0.1,43.6,0.99,60.6,3,8s0.1,75.5 (14.0),98.3 (5.3),73.5 (15.1),91.5 (3.0),0.17 (0.81),7.61 (7.54),1,84.3 (10.8),81.0 (10.6),85.4,81.52,FCN,$FCN_{8s}^{0.1}$
1,1,8s,0.2,64.1,0.99,77.9,4,8s0.2,81.9 (13.1),96.5 (8.0),73.2 (20.0),88.6 (10.3),0.29 (0.88),4.73 (5.45),1,87.6 (10.2),77.9 (12.1),88.6,80.17,FCN,$FCN_{8s}^{0.2}$
2,2,8s,0.3,68.8,0.99,81.3,2,8s0.3,85.8 (12.4),94.2 (11.5),69.1 (6.7),96.9 (0.2),0.28 (0.77),3.98 (4.74),1,88.6 (11.7),80.5 (4.2),89.8,80.67,FCN,$FCN_{8s}^{0.3}$
3,3,8s,0.4,73.9,0.99,84.8,1,8s0.4,88.7 (11.9),92.1 (12.7),62.9 (0.0),97.5 (0.0),0.29 (0.76),3.54 (4.47),1,89.1 (12.2),76.5 (0.0),90.37,76.47,FCN,$FCN_{8s}^{0.4}$
4,4,8s,0.5,75.4,0.99,85.4,2,8s0.5,91.0 (11.3),90.2 (11.7),73.1 (17.6),96.6 (2.2),0.26 (0.69),3.72 (4.64),2,89.6 (10.3),82.1 (10.2),90.6,83.22,FCN,$FCN_{8s}^{0.5}$
5,5,8s,0.6,81.2,0.99,89.0,6,8s0.6,92.8 (10.8),87.7 (12.9),68.9 (22.6),96.9 (3.0),0.29 (0.7),4.01 (5.22),2,89.0 (11.6),78.1 (16.9),90.18,80.54,FCN,$FCN_{8s}^{0.6}$
6,6,8s,0.7,84.0,0.99,90.7,3,8s0.7,94.6 (9.7),83.8 (13.8),64.5 (13.7),97.4 (3.4),0.29 (0.67),4.13 (5.37),2,87.9 (10.8),76.7 (9.0),88.87,77.61,FCN,$FCN_{8s}^{0.7}$
7,7,8s,0.8,84.6,0.98,90.7,10,8s0.8,96.6 (7.4),79.2 (15.6),59.2 (20.2),95.9 (7.2),0.23 (0.57),3.09 (4.5),3,85.7 (12.1),71.3 (17.1),87.04,73.21,FCN,$FCN_{8s}^{0.8}$
8,8,8s,0.9,90.1,0.97,93.5,8,8s0.9,98.1 (6.0),68.3 (21.1),57.4 (18.4),98.7 (3.0),0.24 (0.5),3.8 (5.66),4,77.9 (19.6),70.8 (13.6),80.53,72.59,FCN,$FCN_{8s}^{0.9}$
9,9,16s,0.1,71.3,1.0,83.2,6,16s0.1,75.7 (13.1),95.4 (14.7),54.1 (21.9),83.1 (8.9),0.12 (0.44),5.27 (6.53),0,83.1 (13.5),61.9 (17.5),84.42,65.54,FCN,$FCN_{16s}^{0.1}$
10,10,16s,0.2,82.1,0.99,89.9,5,16s0.2,81.9 (12.0),93.0 (17.8),46.9 (27.2),93.8 (6.1),0.09 (0.23),3.37 (4.67),1,85.1 (15.3),57.1 (26.4),87.1,62.53,FCN,$FCN_{16s}^{0.2}$
11,11,16s,0.3,87.3,0.99,92.6,3,16s0.3,85.4 (11.8),90.7 (19.5),36.5 (35.2),95.8 (3.9),0.07 (0.14),2.71 (4.16),2,85.7 (16.8),43.6 (38.0),87.97,52.86,FCN,$FCN_{16s}^{0.3}$
12,12,16s,0.4,87.0,0.96,91.5,1,16s0.4,87.7 (12.1),89.8 (18.2),37.0 (0.0),96.7 (0.0),0.04 (0.09),3.8 (5.08),5,87.0 (15.6),53.5 (0.0),88.74,53.52,FCN,$FCN_{16s}^{0.4}$
13,13,16s,0.5,91.1,0.96,93.3,3,16s0.5,90.3 (9.4),89.5 (15.1),12.9 (13.7),99.4 (0.9),0.05 (0.09),1.19 (0.74),6,88.5 (12.6),20.7 (20.7),89.9,22.84,FCN,$FCN_{16s}^{0.5}$
14,14,16s,0.6,95.6,0.94,94.6,3,16s0.6,92.2 (8.7),88.2 (13.3),16.2 (10.6),99.4 (0.6),0.08 (0.11),1.1 (0.65),9,89.1 (10.7),26.6 (16.8),90.16,27.86,FCN,$FCN_{16s}^{0.6}$
15,15,16s,0.7,94.9,0.92,93.5,3,16s0.7,94.0 (8.0),86.0 (12.3),26.8 (18.2),99.5 (0.2),0.05 (0.1),1.34 (0.65),11,89.0 (8.3),39.7 (20.4),89.82,42.23,FCN,$FCN_{16s}^{0.7}$
16,16,16s,0.8,97.7,0.92,94.9,4,16s0.8,95.8 (7.0),81.6 (14.6),34.2 (32.6),99.7 (0.3),0.1 (0.12),1.28 (0.95),11,87.0 (10.7),43.9 (33.1),88.13,50.93,FCN,$FCN_{16s}^{0.8}$
17,17,16s,0.9,97.7,0.91,94.5,4,16s0.9,97.6 (5.6),74.5 (16.5),31.8 (27.9),99.9 (0.1),0.07 (0.11),1.33 (0.9),12,83.1 (12.8),41.6 (34.0),84.5,48.24,FCN,$FCN_{16s}^{0.9}$
18,18,32s,0.1,35.4,1.0,52.2,8,32s0.1,67.4 (14.0),98.8 (3.4),73.4 (19.6),86.0 (9.4),0.14 (0.66),4.62 (5.59),0,79.1 (11.0),77.1 (10.4),80.13,79.2,FCN,$FCN_{32s}^{0.1}$
19,19,32s,0.2,50.9,1.0,67.5,10,32s0.2,73.9 (13.6),98.1 (3.8),53.4 (25.8),92.2 (5.4),0.17 (0.55),4.33 (6.17),0,83.5 (10.1),63.6 (19.3),84.3,67.63,FCN,$FCN_{32s}^{0.2}$
20,20,32s,0.3,49.8,1.0,66.5,10,32s0.3,79.1 (13.2),95.5 (10.5),61.0 (35.1),88.5 (9.7),0.1 (0.39),3.68 (5.62),0,85.2 (11.8),65.8 (28.2),86.53,72.22,FCN,$FCN_{32s}^{0.3}$
21,21,32s,0.4,60.7,0.99,75.3,16,32s0.4,82.3 (12.7),94.9 (7.1),51.9 (35.9),94.9 (4.7),0.12 (0.39),3.24 (5.34),1,87.4 (8.9),58.3 (33.3),88.15,67.1,FCN,$FCN_{32s}^{0.4}$
22,22,32s,0.5,60.5,0.99,75.2,15,32s0.5,85.9 (12.1),92.0 (11.4),66.0 (32.0),93.4 (6.7),0.1 (0.32),3.18 (5.15),1,87.7 (11.2),71.2 (26.9),88.85,77.35,FCN,$FCN_{32s}^{0.5}$
23,23,32s,0.6,68.5,0.99,81.1,16,32s0.6,89.0 (11.5),89.1 (11.3),74.7 (28.1),92.4 (7.7),0.11 (0.3),2.95 (4.36),1,88.1 (9.6),78.1 (24.0),89.05,82.61,FCN,$FCN_{32s}^{0.6}$
24,24,32s,0.7,75.7,0.99,85.6,26,32s0.7,91.0 (11.0),85.7 (12.2),71.9 (26.1),96.0 (4.9),0.12 (0.26),3.1 (4.14),2,87.3 (10.6),78.5 (22.3),88.27,82.22,FCN,$FCN_{32s}^{0.7}$
25,25,32s,0.8,76.8,0.98,86.1,27,32s0.8,93.5 (10.0),80.9 (14.2),69.0 (20.7),97.9 (2.6),0.08 (0.19),3.2 (4.95),3,85.6 (12.3),78.7 (17.9),86.74,80.95,FCN,$FCN_{32s}^{0.8}$
26,26,32s,0.9,82.2,0.96,88.7,42,32s0.9,96.2 (8.9),69.8 (15.9),62.8 (22.3),98.7 (3.0),0.05 (0.13),3.15 (4.8),5,79.6 (13.5),74.1 (19.4),80.9,76.76,FCN,$FCN_{32s}^{0.9}$
27,27,sw_100px,1.0,9.4,1.0,17.2,28,sw_100px1.0,24.6 (17.7),86.7 (19.5),24.8 (16.8),57.9 (28.2),1.08 (3.2),7.68 (6.02),0,33.6 (15.1),27.9 (13.8),38.33,34.73,SW,$SW_{100}^{1}$
28,28,sw_100px,2.0,11.7,0.96,20.9,35,sw_100px2.0,32.7 (22.6),72.4 (27.5),26.5 (21.0),53.5 (29.9),0.54 (1.56),6.96 (5.89),5,37.7 (16.7),26.3 (16.7),45.05,35.44,SW,$SW_{100}^{2}$
29,29,sw_100px,3.0,14.6,0.93,25.3,40,sw_100px3.0,42.4 (26.4),56.8 (29.9),24.8 (18.1),55.5 (32.2),0.31 (0.96),6.45 (6.19),9,39.9 (19.7),26.0 (15.6),48.55,34.28,SW,$SW_{100}^{3}$
30,30,sw_100px,4.0,19.5,0.87,31.9,49,sw_100px4.0,46.5 (29.3),39.2 (28.9),20.1 (13.7),49.0 (29.0),0.22 (0.57),6.0 (6.56),16,33.9 (21.1),24.1 (14.0),42.54,28.51,SW,$SW_{100}^{4}$
31,31,sw_200px,1.0,20.0,1.0,33.3,12,sw_200px1.0,16.6 (12.5),94.9 (13.5),40.2 (17.4),49.3 (26.4),5.13 (19.3),7.56 (5.35),0,25.9 (14.2),36.8 (11.9),28.26,44.29,SW,$SW_{200}^{1}$
32,32,sw_200px,2.0,21.7,0.99,35.5,20,sw_200px2.0,21.3 (12.5),90.0 (18.2),31.6 (13.9),55.0 (30.0),3.22 (7.6),8.56 (5.95),2,32.3 (13.8),34.4 (13.9),34.45,40.14,SW,$SW_{200}^{2}$
33,33,sw_200px,3.0,26.0,0.99,41.1,19,sw_200px3.0,29.9 (17.0),74.7 (27.3),16.5 (8.9),67.5 (32.7),1.69 (3.15),8.94 (6.22),2,38.5 (17.0),24.2 (11.9),42.71,26.52,SW,$SW_{200}^{3}$
34,34,sw_200px,4.0,30.0,0.94,45.5,16,sw_200px4.0,39.3 (25.6),56.2 (29.9),16.1 (13.7),52.0 (33.0),0.95 (1.73),8.66 (6.59),8,38.8 (20.0),18.0 (9.3),46.25,24.59,SW,$SW_{200}^{4}$
35,35,sw_300px,1.0,26.9,1.0,42.4,2,sw_300px1.0,13.7 (13.6),97.0 (9.6),48.1 (1.1),55.0 (11.8),7.79 (20.5),6.83 (4.44),0,21.6 (15.5),50.8 (4.5),24.01,51.32,SW,$SW_{300}^{1}$
36,36,sw_300px,2.0,29.1,0.99,45.0,9,sw_300px2.0,18.9 (17.4),91.8 (19.1),44.2 (20.4),40.2 (23.7),7.14 (20.52),8.35 (5.34),1,27.2 (15.0),35.4 (11.1),31.35,42.11,SW,$SW_{300}^{2}$
37,37,sw_300px,3.0,29.4,0.99,45.4,14,sw_300px3.0,26.3 (16.9),82.2 (24.1),30.2 (12.7),57.1 (29.5),3.44 (6.29),9.67 (5.82),1,35.6 (15.0),33.7 (11.8),39.85,39.51,SW,$SW_{300}^{3}$
38,38,sw_300px,4.0,35.3,0.95,51.5,12,sw_300px4.0,33.2 (21.8),62.6 (29.3),17.7 (13.4),52.0 (30.9),1.76 (3.1),9.48 (6.5),6,36.3 (17.1),21.2 (9.8),43.39,26.41,SW,$SW_{300}^{4}$
39,39,sw_400px,1.0,32.7,1.0,49.3,2,sw_400px1.0,10.5 (11.7),98.7 (9.3),61.9 (11.6),42.6 (10.1),11.59 (24.05),7.12 (4.15),0,17.2 (15.3),50.4 (10.9),18.98,50.47,SW,$SW_{400}^{1}$
40,40,sw_400px,2.0,34.6,1.0,51.4,4,sw_400px2.0,15.6 (15.1),94.5 (13.3),36.0 (4.6),48.7 (27.6),9.54 (26.13),7.88 (4.89),0,23.8 (15.6),38.6 (13.1),26.78,41.4,SW,$SW_{400}^{2}$
41,41,sw_400px,3.0,38.1,0.99,55.1,3,sw_400px3.0,25.1 (18.0),80.7 (24.3),25.3 (24.1),57.3 (32.6),6.66 (10.23),9.11 (5.37),1,33.5 (14.6),30.2 (21.0),38.29,35.1,SW,$SW_{400}^{3}$
42,42,sw_400px,4.0,39.0,0.97,55.6,16,sw_400px4.0,29.3 (20.0),60.5 (29.9),27.6 (14.8),39.6 (22.7),3.22 (4.71),10.03 (5.93),4,34.5 (17.1),27.6 (12.2),39.48,32.53,SW,$SW_{400}^{4}$
43,43,sw_500px,1.0,40.2,1.0,57.3,1,sw_500px1.0,8.4 (9.7),99.9 (4.9),78.6 (0.0),17.9 (0.0),17.39 (30.07),7.22 (4.04),0,14.2 (13.8),29.2 (0.0),15.5,29.16,SW,$SW_{500}^{1}$
44,44,sw_500px,2.0,38.6,1.0,55.7,1,sw_500px2.0,13.5 (14.0),95.2 (14.5),45.9 (0.0),35.2 (0.0),17.19 (39.07),7.56 (4.42),0,21.0 (16.0),39.8 (0.0),23.65,39.84,SW,$SW_{500}^{2}$
45,45,sw_500px,3.0,41.5,0.98,58.4,4,sw_500px3.0,21.3 (18.0),80.4 (26.9),37.8 (21.8),47.6 (21.4),8.73 (15.57),8.44 (4.95),2,30.1 (17.0),41.2 (20.2),33.68,42.14,SW,$SW_{500}^{3}$
46,46,sw_500px,4.0,40.7,0.93,56.6,4,sw_500px4.0,27.5 (21.6),64.4 (29.0),19.3 (9.4),37.5 (26.8),5.33 (7.72),9.78 (5.8),9,33.2 (16.7),23.4 (13.7),38.54,25.48,SW,$SW_{500}^{4}$
47,47,sw_600px,1.0,43.5,1.0,60.6,0,sw_600px1.0,6.9 (7.8),98.5 (10.7),nan (nan),nan (nan),25.48 (48.45),7.72 (4.3),0,12.0 (12.0),nan (nan),12.9,,SW,$SW_{600}^{1}$
48,48,sw_600px,2.0,41.7,1.0,58.8,1,sw_600px2.0,10.4 (10.6),93.7 (18.9),27.2 (0.0),19.7 (0.0),20.41 (38.32),7.92 (4.38),0,17.2 (14.4),22.9 (0.0),18.72,22.85,SW,$SW_{600}^{2}$
49,49,sw_600px,3.0,38.5,0.98,55.4,3,sw_600px3.0,19.0 (15.2),82.3 (25.9),25.7 (11.7),25.8 (3.4),11.43 (19.78),8.79 (4.85),2,28.3 (17.2),24.0 (4.6),30.87,25.75,SW,$SW_{600}^{3}$
