,model_name,threshold_pw,component_precision_joint_mean,component_recall_joint_mean,dice_joint,architecture,latex_name
0,16s,0.1,76.6 (76.6),90.5 (90.5),80.6 (15.5),FCN,$FCN_{16s}^{0.1}$
1,16s,0.2,83.0 (83.0),88.6 (88.6),82.4 (18.5),FCN,$FCN_{16s}^{0.2}$
2,16s,0.3,85.9 (85.9),88.0 (88.0),83.6 (20.4),FCN,$FCN_{16s}^{0.3}$
3,16s,0.4,87.9 (87.9),89.0 (89.0),86.5 (16.0),FCN,$FCN_{16s}^{0.4}$
4,16s,0.5,90.7 (90.7),86.1 (86.1),85.5 (19.1),FCN,$FCN_{16s}^{0.5}$
5,16s,0.6,92.6 (92.6),85.0 (85.0),86.3 (17.0),FCN,$FCN_{16s}^{0.6}$
6,16s,0.7,94.3 (94.3),82.9 (82.9),86.4 (14.4),FCN,$FCN_{16s}^{0.7}$
7,16s,0.8,96.0 (96.0),78.8 (78.8),84.5 (16.5),FCN,$FCN_{16s}^{0.8}$
8,16s,0.9,97.8 (97.8),70.4 (70.4),79.2 (20.0),FCN,$FCN_{16s}^{0.9}$
9,32s,0.1,70.3 (70.3),94.9 (94.9),78.8 (10.9),FCN,$FCN_{32s}^{0.1}$
10,32s,0.2,78.6 (78.6),86.6 (86.6),78.4 (15.6),FCN,$FCN_{32s}^{0.2}$
11,32s,0.3,80.7 (80.7),89.7 (89.7),82.0 (17.3),FCN,$FCN_{32s}^{0.3}$
12,32s,0.4,86.2 (86.2),81.6 (81.6),78.4 (24.0),FCN,$FCN_{32s}^{0.4}$
13,32s,0.5,87.7 (87.7),85.7 (85.7),83.7 (17.8),FCN,$FCN_{32s}^{0.5}$
14,32s,0.6,89.8 (89.8),85.6 (85.6),85.7 (15.0),FCN,$FCN_{32s}^{0.6}$
15,32s,0.7,92.8 (92.8),80.7 (80.7),84.1 (16.3),FCN,$FCN_{32s}^{0.7}$
16,32s,0.8,95.3 (95.3),76.0 (76.0),82.7 (15.2),FCN,$FCN_{32s}^{0.8}$
17,32s,0.9,97.6 (97.6),65.8 (65.8),76.4 (17.3),FCN,$FCN_{32s}^{0.9}$
18,8s,0.1,76.6 (76.6),96.6 (96.6),84.1 (10.8),FCN,$FCN_{8s}^{0.1}$
19,8s,0.2,82.4 (82.4),94.8 (94.8),86.9 (10.6),FCN,$FCN_{8s}^{0.2}$
20,8s,0.3,86.6 (86.6),92.4 (92.4),88.0 (11.5),FCN,$FCN_{8s}^{0.3}$
21,8s,0.4,88.8 (88.8),91.7 (91.7),88.9 (12.2),FCN,$FCN_{8s}^{0.4}$
22,8s,0.5,91.2 (91.2),89.6 (89.6),89.3 (10.3),FCN,$FCN_{8s}^{0.5}$
23,8s,0.6,93.2 (93.2),86.0 (86.0),88.1 (12.5),FCN,$FCN_{8s}^{0.6}$
24,8s,0.7,94.8 (94.8),82.2 (82.2),86.9 (11.0),FCN,$FCN_{8s}^{0.7}$
25,8s,0.8,96.5 (96.5),76.1 (76.1),83.5 (13.9),FCN,$FCN_{8s}^{0.8}$
26,8s,0.9,98.2 (98.2),66.8 (66.8),76.9 (19.0),FCN,$FCN_{8s}^{0.9}$
27,sw_1000px,1.0,3.7 (3.7),95.3 (95.3),6.8 (7.9),SW,$SW_{1000}^{1}$
28,sw_1000px,2.0,6.3 (6.3),93.8 (93.8),11.1 (10.9),SW,$SW_{1000}^{2}$
29,sw_1000px,3.0,13.5 (13.5),83.5 (83.5),21.4 (14.9),SW,$SW_{1000}^{3}$
30,sw_1000px,4.0,23.7 (23.7),68.4 (68.4),30.2 (19.1),SW,$SW_{1000}^{4}$
31,sw_100px,1.0,41.8 (41.8),54.8 (54.8),30.7 (14.7),SW,$SW_{100}^{1}$
32,sw_100px,2.0,43.7 (43.7),48.2 (48.2),31.7 (17.6),SW,$SW_{100}^{2}$
33,sw_100px,3.0,50.1 (50.1),37.9 (37.9),31.7 (18.7),SW,$SW_{100}^{3}$
34,sw_100px,4.0,48.2 (48.2),25.9 (25.9),27.1 (17.0),SW,$SW_{100}^{4}$
35,sw_200px,1.0,23.5 (23.5),83.4 (83.4),28.2 (14.4),SW,$SW_{200}^{1}$
36,sw_200px,2.0,31.6 (31.6),72.2 (72.2),32.9 (13.9),SW,$SW_{200}^{2}$
37,sw_200px,3.0,41.2 (41.2),57.2 (57.2),34.2 (16.9),SW,$SW_{200}^{3}$
38,sw_200px,4.0,42.8 (42.8),45.1 (45.1),33.0 (20.0),SW,$SW_{200}^{4}$
39,sw_300px,1.0,14.8 (14.8),95.6 (95.6),22.4 (16.1),SW,$SW_{300}^{1}$
40,sw_300px,2.0,21.8 (21.8),85.2 (85.2),28.3 (14.8),SW,$SW_{300}^{2}$
41,sw_300px,3.0,32.8 (32.8),71.2 (71.2),35.2 (14.4),SW,$SW_{300}^{3}$
42,sw_300px,4.0,36.8 (36.8),54.1 (54.1),33.4 (17.0),SW,$SW_{300}^{4}$
43,sw_400px,1.0,11.4 (11.4),97.6 (97.6),18.2 (16.1),SW,$SW_{400}^{1}$
44,sw_400px,2.0,17.7 (17.7),90.8 (90.8),24.7 (15.8),SW,$SW_{400}^{2}$
45,sw_400px,3.0,26.7 (26.7),77.9 (77.9),33.3 (14.9),SW,$SW_{400}^{3}$
46,sw_400px,4.0,31.7 (31.7),52.8 (52.8),32.9 (16.3),SW,$SW_{400}^{4}$
47,sw_500px,1.0,8.6 (8.6),99.5 (99.5),14.5 (13.8),SW,$SW_{500}^{1}$
48,sw_500px,2.0,13.8 (13.8),94.5 (94.5),21.3 (16.0),SW,$SW_{500}^{2}$
49,sw_500px,3.0,23.1 (23.1),77.6 (77.6),30.9 (17.4),SW,$SW_{500}^{3}$
50,sw_500px,4.0,28.2 (28.2),61.4 (61.4),32.5 (16.7),SW,$SW_{500}^{4}$
51,sw_600px,1.0,6.9 (6.9),98.5 (98.5),12.0 (12.0),SW,$SW_{600}^{1}$
52,sw_600px,2.0,10.5 (10.5),92.7 (92.7),17.3 (14.3),SW,$SW_{600}^{2}$
53,sw_600px,3.0,19.3 (19.3),79.6 (79.6),28.1 (16.8),SW,$SW_{600}^{3}$
54,sw_600px,4.0,25.6 (25.6),62.1 (62.1),32.0 (17.8),SW,$SW_{600}^{4}$
55,sw_700px,1.0,5.6 (5.6),98.6 (98.6),9.9 (10.3),SW,$SW_{700}^{1}$
56,sw_700px,2.0,9.3 (9.3),94.4 (94.4),15.6 (13.7),SW,$SW_{700}^{2}$
57,sw_700px,3.0,18.5 (18.5),83.4 (83.4),26.6 (17.4),SW,$SW_{700}^{3}$
58,sw_700px,4.0,24.6 (24.6),66.0 (66.0),30.9 (16.9),SW,$SW_{700}^{4}$
59,sw_800px,1.0,5.1 (5.1),97.7 (97.7),9.0 (10.4),SW,$SW_{800}^{1}$
60,sw_800px,2.0,8.3 (8.3),95.0 (95.0),13.9 (13.2),SW,$SW_{800}^{2}$
61,sw_800px,3.0,15.7 (15.7),80.0 (80.0),23.3 (17.1),SW,$SW_{800}^{3}$
62,sw_800px,4.0,22.3 (22.3),65.4 (65.4),28.3 (19.1),SW,$SW_{800}^{4}$
63,sw_900px,1.0,4.2 (4.2),94.7 (94.7),7.5 (9.2),SW,$SW_{900}^{1}$
64,sw_900px,2.0,7.1 (7.1),92.5 (92.5),12.2 (12.0),SW,$SW_{900}^{2}$
65,sw_900px,3.0,15.0 (15.0),81.5 (81.5),22.7 (16.8),SW,$SW_{900}^{3}$
66,sw_900px,4.0,22.0 (22.0),67.8 (67.8),29.0 (18.6),SW,$SW_{900}^{4}$
